도도부현,학생수,평균정답수
홋카이도,40952,13.3
아오모리현,11294,13.5
이와테현,11191,12.7
미야기현,19845,13.4
아키타현,8160,14.9
야마가타현,9823,13.7
후쿠시마현,17217,13.1
이바라기현,25186,13.7
도치기현,17023,13.3
군마현,17711,14.3
사이타마현,58863,12.9
지바현,48763,13
도쿄도,75101,13.1
가나가와현,66114,13.2
니가타현,19203,13
후쿠야마현,9348,14.8
이시카와현,10416,14.6
후쿠이현,7145,15.3
야마나시현,7204,13.5
나가노현,18530,13.2
기후현,18754,14.2
시즈오카현,30022,13.8
아기치현,65873,14
미에현,15926,13
시가현,12749,12.6
교토부,19790,13.2
오사카부,70725,12.7
효고현,45814,13.3
나라현,10933,12.9
와카야마현,7986,12.5
돗토리현,4960,13.3
시마네현,5872,13.3
오카야마현,16633,12.9
히로시마현,21981,13
야마구치현,11324,13.3
도쿠시마현,6311,13.1
가가와현,8612,13.3
에히메현,11839,13.8
고치현高,4926,11.8
호쿠오카현,41989,12.8
사가현,7857,12.4
나가사키현,12180,12.9
구마모토현,15883,13.6
오이타현,9654,13.2
미야자키현,9767,12.8
가고시마현,14454,13
오키나와현,14669,11.5
